Symbol,Company Name,Industry,ISIN
BSE,BSE Ltd.,Financial Services,INE118H01025
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,INE917I01010
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,INE296A01032
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,INE918I01026
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,INE118A01012
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,INE377Y01014
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,INE787D01026
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,INE119A01028
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,INE545U01014
BANKBARODA,Bank of Baroda,Financial Services,INE028A01039
BANKINDIA,Bank of India,Financial Services,INE084A01016
MAHABANK,Bank of Maharashtra,Financial Services,INE457A01014
BATAINDIA,Bata India Ltd.,Consumer Durables,INE176A01028
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,INE462A01022
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,INE463A01038
BDL,Bharat Dynamics Ltd.,Capital Goods,INE171Z01026
BEL,Bharat Electronics Ltd.,Capital Goods,INE263A01024
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,INE465A01025
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,INE257A01026
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE029A01011
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,INE397D01024
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,INE343G01021
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,INE00E101023
BIOCON,Biocon Ltd.,Healthcare,INE376G01013
BSOFT,Birlasoft Ltd.,Information Technology,INE836A01035
BLUEDART,Blue Dart Express Ltd.,Services,INE233B01017
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,INE0KBH01020
BLUESTARCO,Blue Star Ltd.,Consumer Durables,INE472A01039
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,INE050A01025
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,INE323A01026
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,INE02RE01045
BRIGADE,Brigade Enterprises Ltd.,Realty,INE791I01019
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,INE216A01030
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,INE0BV301023
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,INE421D01022
CESC,CESC Ltd.,Power,INE486A01021
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,INE067A01029
